abnormal_subdomain,longest_word_path,domain_in_title,web_traffic,google_index,char_repeat,length_url,domain_age,nb_www,ratio_intHyperlinks,nb_extCSS,nb_eq,longest_words_raw,domain_in_brand,tld_in_subdomain,length_hostname,links_in_tags,nb_dots,avg_word_host,avg_word_path,domain_with_copyright,ratio_extErrors,nb_hyperlinks,empty_title,page_rank,phish_hints,login_form,right_clic,safe_anchor,nb_slash,ip,external_favicon,prefix_suffix,ratio_extHyperlinks,onmouseover,suspecious_tld,nb_qm,shortest_word_host,iframe,ratio_digits_url,ratio_digits_host,ratio_extRedirection,status
0,5,1,78526,0,3,46,6678,1,0.93006993,1,1,12,0,0,20,73.91304348,3,7.5,3.75,1,0.0,143,0,5,0,0,0,77.77777778,3,0,1,0,0.06993007,0,0,1,3,0,0.1086956519999999,0.0,0.0,1
0,0,1,0,1,6,128,65,0,0.0,0,0,35,0,0,120,0.0,10,10.7,0.0,0,0.0,0,1,0,2,0,0,0.0,3,0,0,0,0.0,0,0,0,2,0,0.0546875,0.058333333,0.0,1
0,9,1,0,1,5,52,1707,1,1.0,0,0,17,0,0,25,100.0,3,10.0,5.666666667,0,0.0,3,0,0,0,0,0,0.0,4,0,0,0,0.0,0,0,0,3,0,0.0,0.0,0.0,1
0,0,1,0,0,3,21,1331,1,0.962871287,0,0,5,0,0,13,100.0,2,4.0,0.0,1,0.0,404,0,0,0,0,0,82.53968254,3,0,0,0,0.037128713,0,0,0,3,0,0.142857143,0.230769231,0.133333333,0
0,0,0,312044,0,3,28,1662,1,0.684210526,3,0,11,0,0,19,55.55555556,2,7.0,0.0,0,0.0,57,0,4,0,0,0,81.08108108,3,0,1,0,0.3157894739999999,0,0,0,3,0,0.0,0.0,0.0,0
0,17,1,5707171,1,4,128,3993,0,1.0,0,3,17,0,1,50,100.0,4,8.4,7.375,1,0.0,51,0,0,0,0,0,100.0,5,1,0,1,0.0,0,0,1,3,0,0.1171875,0.0,0.0,1
0,9,1,154708,0,3,50,7330,1,0.0,0,1,9,0,0,15,0.0,2,5.0,5.5,0,0.0,0,0,4,0,0,0,0.0,5,0,0,0,0.0,0,0,1,3,0,0.0,0.0,0.0,1
0,7,1,0,1,2,51,-1,0,1.0,0,0,7,0,0,14,100.0,5,7.0,5.0,0,0.0,4,0,0,3,0,0,100.0,4,0,0,0,0.0,0,0,0,7,0,0.0,0.0,0.0,1
0,4,0,379,0,3,35,5046,1,0.939130435,0,0,14,0,0,22,66.66666667,2,8.5,4.0,1,0.142857143,115,0,5,0,0,0,64.28571429,4,0,0,0,0.060869565,0,0,0,3,0,0.0,0.0,0.142857143,0
0,0,1,0,0,3,22,3505,1,0.363636364,2,0,8,0,0,15,0.0,2,5.5,0.0,1,0.174603175,99,0,2,0,0,0,6.451612902999999,2,0,1,0,0.636363636,0,0,0,3,0,0.0,0.0,0.46031746,0
0,8,1,0,1,3,57,-1,1,0.205298013,19,0,8,0,0,14,17.39130435,3,5.0,4.833333333,0,0.108333333,151,0,0,3,1,0,46.66666667,7,0,1,1,0.794701987,0,0,0,3,0,0.0,0.0,0.033333333,1
0,0,1,0,0,3,39,-1,1,0.8857142859999999,1,0,9,0,0,30,0.0,2,6.0,0.0,1,0.0,70,0,2,0,0,0,75.0,3,0,1,0,0.114285714,0,0,0,3,0,0.0,0.0,0.0,0
0,7,1,0,1,0,44,-1,0,0.0,0,0,11,0,0,18,0.0,3,11.0,5.333333333,0,0.0,0,1,0,0,0,0,0.0,4,0,0,0,0.0,0,0,0,11,0,0.0,0.0,0.0,1
0,0,1,0,1,0,28,7295,0,0.071428571,0,0,8,1,0,21,0.0,2,8.0,0.0,0,0.615384615,14,0,5,0,0,0,14.28571429,2,0,1,0,0.928571429,0,0,0,8,0,0.035714286,0.047619048,0.846153846,1
0,24,1,2,1,4,56,5640,1,0.564102564,0,0,24,1,0,15,70.58823529,2,5.0,15.5,1,0.0,39,1,10,0,0,0,0.0,4,0,1,0,0.435897436,0,0,0,3,0,0.071428571,0.0,0.0,0
0,46,1,0,1,1,110,8019,0,0.115384615,0,1,46,0,0,30,7.692307692000001,2,8.0,10.66666667,0,0.086956522,26,0,4,0,0,0,0.0,6,0,1,1,0.884615385,0,0,1,2,0,0.1,0.0,0.0,1
0,4,0,12601,0,3,40,8147,1,0.640243902,0,0,9,0,0,17,30.95238095,3,6.0,3.0,0,0.644067797,164,0,6,0,0,0,80.0,5,0,1,0,0.3597560979999999,0,0,0,3,0,0.0,0.0,0.13559322,0
0,9,1,34738,0,6,62,5826,1,0.915492958,0,0,9,0,0,16,95.23809524,2,5.5,5.166666667,1,0.0,71,0,5,0,0,0,0.0,7,0,0,0,0.0845070419999999,0,0,0,3,0,0.0806451609999999,0.0,0.166666667,0
0,7,1,1310,0,5,62,5132,1,0.485148515,1,0,9,0,0,17,18.75,2,6.0,4.285714286,0,0.192307692,101,0,7,0,1,0,63.33333333,5,0,1,0,0.514851485,0,0,0,3,0,0.0161290319999999,0.0,0.153846154,0
0,15,1,0,1,0,69,5,0,0.277777778,0,0,15,0,0,20,100.0,2,7.5,7.4,1,0.0384615379999999,72,0,0,1,1,0,0.0,6,0,0,1,0.7222222220000001,0,1,0,3,0,0.0,0.0,0.057692308,1
0,0,1,0,0,3,24,5001,1,0.7142857140000001,3,0,8,0,0,16,68.75,2,5.5,0.0,0,0.0,49,0,3,0,0,0,0.0,3,0,1,0,0.285714286,0,0,0,3,0,0.0,0.0,0.0,0
0,12,1,0,0,0,45,199,0,0.0,0,0,12,0,0,10,0.0,2,3.0,8.333333332999999,0,0.0,0,0,0,0,0,0,0.0,4,1,0,1,0.0,0,0,0,3,0,0.222222222,0.0,0.0,1
0,0,0,1177815,0,4,26,6140,1,0.896103896,1,0,10,0,0,17,83.33333333,2,6.5,0.0,0,0.0,308,0,3,0,0,0,26.92307692,3,0,1,0,0.103896104,0,0,0,3,0,0.0,0.0,0.0,0
0,0,1,3399200,0,3,33,3494,1,0.3913043479999999,1,0,16,0,0,24,0.0,2,9.5,0.0,1,0.071428571,23,0,3,0,1,0,60.0,3,0,1,0,0.608695652,0,0,0,3,0,0.0,0.0,0.0,0
0,0,1,0,0,1,36,5161,0,0.75,1,0,9,1,0,29,50.0,2,7.666666667,0.0,0,0.0,24,0,8,0,0,0,0.0,2,0,1,0,0.25,0,0,0,6,0,0.0,0.0,0.0,0
0,8,1,1033,1,1,55,-1,0,0.0,0,0,8,0,0,18,0.0,4,4.0,4.0,1,0.0,0,1,7,0,0,0,0.0,5,0,0,1,0.0,0,0,0,3,0,0.109090909,0.0,0.0,0
0,0,0,0,0,3,25,4011,1,0.719101124,1,0,9,0,0,16,86.66666667,2,6.0,0.0,0,0.0,178,0,2,0,0,0,25.0,3,0,1,0,0.280898876,0,0,0,3,0,0.0,0.0,0.22,0
0,7,1,0,1,3,59,3480,1,0.875,0,1,12,0,0,20,100.0,4,7.5,5.0,0,0.0,16,0,0,1,0,0,33.33333333,4,0,0,0,0.125,0,0,1,3,0,0.0,0.0,1.0,0
0,0,1,461958,1,3,31,7202,0,0.25,0,0,12,0,0,23,100.0,2,9.0,0.0,1,0.142857143,28,0,2,0,0,0,4.545454545,3,0,0,0,0.75,0,0,0,6,0,0.0,0.0,0.142857143,1
0,22,1,9602,0,5,96,4843,1,0.0,0,2,22,0,0,7,0.0,3,4.0,5.666666667,0,0.0,0,0,5,1,0,0,0.0,3,0,0,0,0.0,0,0,1,4,0,0.114583333,0.0,0.0,1
