nb_qm,longest_word_path,nb_slash,nb_dots,length_hostname,ratio_intHyperlinks,domain_age,login_form,ip,links_in_tags,ratio_extHyperlinks,ratio_extRedirection,ratio_digits_host,nb_hyperlinks,prefix_suffix,empty_title,nb_www,iframe,domain_in_title,nb_eq,web_traffic,phish_hints,shortest_word_host,google_index,longest_words_raw,avg_word_path,ratio_extErrors,avg_word_host,length_url,page_rank,ratio_digits_url,char_repeat,tld_in_subdomain,safe_anchor,status
1,5,3,3,20,0.93006993,6678,0,0,73.91304348,0.06993007,0.0,0.0,143,0,0,1,0,1,1,78526,0,3,0,12,3.75,0.0,7.5,46,5,0.1086956519999999,3,0,77.77777778,1
0,0,3,10,120,0.0,65,0,0,0.0,0.0,0.0,0.058333333,0,0,1,0,0,1,0,0,2,2,1,35,0.0,0.0,10.7,128,0,0.0546875,6,0,0.0,1
0,9,4,3,25,1.0,1707,0,0,100.0,0.0,0.0,0.0,3,0,0,1,0,1,0,0,0,3,1,17,5.666666667,0.0,10.0,52,0,0.0,5,0,0.0,1
0,0,3,2,13,0.962871287,1331,0,0,100.0,0.037128713,0.133333333,0.230769231,404,0,0,1,0,1,0,0,0,3,0,5,0.0,0.0,4.0,21,0,0.142857143,3,0,82.53968254,0
0,0,3,2,19,0.684210526,1662,0,0,55.55555556,0.3157894739999999,0.0,0.0,57,0,0,1,0,0,0,312044,0,3,0,11,0.0,0.0,7.0,28,4,0.0,3,0,81.08108108,0
1,17,5,4,50,1.0,3993,0,1,100.0,0.0,0.0,0.0,51,1,0,0,0,1,3,5707171,0,3,1,17,7.375,0.0,8.4,128,0,0.1171875,4,1,100.0,1
1,9,5,2,15,0.0,7330,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,154708,0,3,0,9,5.5,0.0,5.0,50,4,0.0,3,0,0.0,1
0,7,4,5,14,1.0,-1,0,0,100.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,3,7,1,7,5.0,0.0,7.0,51,0,0.0,2,0,100.0,1
0,4,4,2,22,0.939130435,5046,0,0,66.66666667,0.060869565,0.142857143,0.0,115,0,0,1,0,0,0,379,0,3,0,14,4.0,0.142857143,8.5,35,5,0.0,3,0,64.28571429,0
0,0,2,2,15,0.363636364,3505,0,0,0.0,0.636363636,0.46031746,0.0,99,0,0,1,0,1,0,0,0,3,0,8,0.0,0.174603175,5.5,22,2,0.0,3,0,6.451612902999999,0
0,8,7,3,14,0.205298013,-1,1,0,17.39130435,0.794701987,0.033333333,0.0,151,1,0,1,0,1,0,0,3,3,1,8,4.833333333,0.108333333,5.0,57,0,0.0,3,0,46.66666667,1
0,0,3,2,30,0.8857142859999999,-1,0,0,0.0,0.114285714,0.0,0.0,70,0,0,1,0,1,0,0,0,3,0,9,0.0,0.0,6.0,39,2,0.0,3,0,75.0,0
0,7,4,3,18,0.0,-1,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,11,1,11,5.333333333,0.0,11.0,44,0,0.0,0,0,0.0,1
0,0,2,2,21,0.071428571,7295,0,0,0.0,0.928571429,0.846153846,0.047619048,14,0,0,0,0,1,0,0,0,8,1,8,0.0,0.615384615,8.0,28,5,0.035714286,0,0,14.28571429,1
0,24,4,2,15,0.564102564,5640,0,0,70.58823529,0.435897436,0.0,0.0,39,0,1,1,0,1,0,2,0,3,1,24,15.5,0.0,5.0,56,10,0.071428571,4,0,0.0,0
1,46,6,2,30,0.115384615,8019,0,0,7.692307692000001,0.884615385,0.0,0.0,26,1,0,0,0,1,1,0,0,2,1,46,10.66666667,0.086956522,8.0,110,4,0.1,1,0,0.0,1
0,4,5,3,17,0.640243902,8147,0,0,30.95238095,0.3597560979999999,0.13559322,0.0,164,0,0,1,0,0,0,12601,0,3,0,9,3.0,0.644067797,6.0,40,6,0.0,3,0,80.0,0
0,9,7,2,16,0.915492958,5826,0,0,95.23809524,0.0845070419999999,0.166666667,0.0,71,0,0,1,0,1,0,34738,0,3,0,9,5.166666667,0.0,5.5,62,5,0.0806451609999999,6,0,0.0,0
0,7,5,2,17,0.485148515,5132,1,0,18.75,0.514851485,0.153846154,0.0,101,0,0,1,0,1,0,1310,0,3,0,9,4.285714286,0.192307692,6.0,62,7,0.0161290319999999,5,0,63.33333333,0
0,15,6,2,20,0.277777778,5,1,0,100.0,0.7222222220000001,0.057692308,0.0,72,1,0,0,0,1,0,0,1,3,1,15,7.4,0.0384615379999999,7.5,69,0,0.0,0,0,0.0,1
0,0,3,2,16,0.7142857140000001,5001,0,0,68.75,0.285714286,0.0,0.0,49,0,0,1,0,1,0,0,0,3,0,8,0.0,0.0,5.5,24,3,0.0,3,0,0.0,0
0,12,4,2,10,0.0,199,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,3,0,12,8.333333332999999,0.0,3.0,45,0,0.222222222,0,0,0.0,1
0,0,3,2,17,0.896103896,6140,0,0,83.33333333,0.103896104,0.0,0.0,308,0,0,1,0,0,0,1177815,0,3,0,10,0.0,0.0,6.5,26,3,0.0,4,0,26.92307692,0
0,0,3,2,24,0.3913043479999999,3494,1,0,0.0,0.608695652,0.0,0.0,23,0,0,1,0,1,0,3399200,0,3,0,16,0.0,0.071428571,9.5,33,3,0.0,3,0,60.0,0
0,0,2,2,29,0.75,5161,0,0,50.0,0.25,0.0,0.0,24,0,0,0,0,1,0,0,0,6,0,9,0.0,0.0,7.666666667,36,8,0.0,1,0,0.0,0
0,8,5,4,18,0.0,-1,0,0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,1033,0,3,1,8,4.0,0.0,4.0,55,7,0.109090909,1,0,0.0,0
0,0,3,2,16,0.719101124,4011,0,0,86.66666667,0.280898876,0.22,0.0,178,0,0,1,0,0,0,0,0,3,0,9,0.0,0.0,6.0,25,2,0.0,3,0,25.0,0
1,7,4,4,20,0.875,3480,0,0,100.0,0.125,1.0,0.0,16,0,0,1,0,1,1,0,1,3,1,12,5.0,0.0,7.5,59,0,0.0,3,0,33.33333333,0
0,0,3,2,23,0.25,7202,0,0,100.0,0.75,0.142857143,0.0,28,0,0,0,0,1,0,461958,0,6,1,12,0.0,0.142857143,9.0,31,2,0.0,3,0,4.545454545,1
1,22,3,3,7,0.0,4843,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,2,9602,1,4,0,22,5.666666667,0.0,4.0,96,5,0.114583333,5,0,0.0,1
0,0,3,2,19,0.294117647,7391,0,0,100.0,0.705882353,0.166666667,0.0,17,0,0,1,0,0,0,8675232,0,3,0,12,0.0,0.0,7.5,27,3,0.0,4,0,7.692307692000001,0
0,9,4,3,17,0.901515152,-1,1,0,82.35294118,0.098484848,0.076923077,0.0,132,0,0,1,0,1,0,219669,0,3,1,9,5.333333333,0.0,6.0,44,4,0.0,4,0,80.64516129,0
0,7,6,2,18,0.384615385,5005,0,0,50.0,0.615384615,0.0,0.0,13,0,0,1,0,0,0,0,0,3,1,10,5.666666667,0.125,6.5,47,3,0.0,3,0,33.33333333,0
0,0,3,2,24,0.3859649120000001,7299,0,0,25.0,0.614035088,0.142857143,0.0,57,0,0,0,0,1,0,33345,0,8,0,11,0.0,0.0,9.5,32,5,0.0,1,0,64.0,0
0,11,4,2,17,0.5,3029,0,0,60.0,0.5,0.0,0.0,14,1,0,1,0,0,0,2349295,0,3,0,11,9.5,0.0,6.0,46,4,0.0,3,0,100.0,0
0,12,4,2,18,0.958801498,12471,0,0,92.0,0.041198502,0.727272727,0.0,267,0,0,0,0,1,0,5469,0,4,0,12,9.333333333,0.0,6.5,56,5,0.0,0,0,61.9047619,0
0,0,3,1,12,1.0,-1,0,0,100.0,0.0,0.0,0.0,4,0,0,0,0,1,0,0,0,7,1,7,0.0,0.0,7.0,21,0,0.0,0,0,100.0,1
0,9,5,2,15,0.95,-1,0,0,91.66666667,0.05,0.0,0.0,80,1,0,1,0,1,0,891330,0,3,1,9,5.75,0.0,5.0,50,5,0.0,5,0,100.0,0
0,5,4,4,35,0.19047619,5614,0,1,0.0,0.80952381,0.176470588,0.4,21,0,0,0,0,1,0,0,0,1,1,18,4.0,0.0,7.0,53,5,0.264150943,2,0,25.0,1
0,0,3,4,59,0.75,5613,0,0,50.0,0.25,0.0,0.101694915,4,0,0,0,0,1,0,7198650,0,1,1,7,0.0,0.0,4.090909091,68,5,0.088235294,3,0,0.0,1
