google_index,page_rank,domain_age,nb_hyperlinks,nb_qm,domain_in_title,nb_eq,length_hostname,longest_word_path,tld_in_subdomain,ratio_digits_host,nb_www,ip,shortest_word_host,ratio_digits_url,nb_slash,length_url,longest_words_raw,prefix_suffix,nb_dots,phish_hints,ratio_extHyperlinks,status
0,5,6678,143,1,1,1,20,5,0,0.0,1,0,3,0.1086956519999999,3,46,12,0,3,0,0.06993007,1
1,0,65,0,0,1,0,120,0,0,0.058333333,0,0,2,0.0546875,3,128,35,0,10,2,0.0,1
1,0,1707,3,0,1,0,25,9,0,0.0,1,0,3,0.0,4,52,17,0,3,0,0.0,1
0,0,1331,404,0,1,0,13,0,0,0.230769231,1,0,3,0.142857143,3,21,5,0,2,0,0.037128713,0
0,4,1662,57,0,0,0,19,0,0,0.0,1,0,3,0.0,3,28,11,0,2,0,0.3157894739999999,0
1,0,3993,51,1,1,3,50,17,1,0.0,0,1,3,0.1171875,5,128,17,1,4,0,0.0,1
0,4,7330,0,1,1,1,15,9,0,0.0,1,0,3,0.0,5,50,9,0,2,0,0.0,1
1,0,-1,4,0,1,0,14,7,0,0.0,0,0,7,0.0,4,51,7,0,5,3,0.0,1
0,5,5046,115,0,0,0,22,4,0,0.0,1,0,3,0.0,4,35,14,0,2,0,0.060869565,0
0,2,3505,99,0,1,0,15,0,0,0.0,1,0,3,0.0,2,22,8,0,2,0,0.636363636,0
1,0,-1,151,0,1,0,14,8,0,0.0,1,0,3,0.0,7,57,8,1,3,3,0.794701987,1
0,2,-1,70,0,1,0,30,0,0,0.0,1,0,3,0.0,3,39,9,0,2,0,0.114285714,0
1,0,-1,0,0,1,0,18,7,0,0.0,0,0,11,0.0,4,44,11,0,3,0,0.0,1
1,5,7295,14,0,1,0,21,0,0,0.047619048,0,0,8,0.035714286,2,28,8,0,2,0,0.928571429,1
1,10,5640,39,0,1,0,15,24,0,0.0,1,0,3,0.071428571,4,56,24,0,2,0,0.435897436,0
1,4,8019,26,1,1,1,30,46,0,0.0,0,0,2,0.1,6,110,46,1,2,0,0.884615385,1
0,6,8147,164,0,0,0,17,4,0,0.0,1,0,3,0.0,5,40,9,0,3,0,0.3597560979999999,0
0,5,5826,71,0,1,0,16,9,0,0.0,1,0,3,0.0806451609999999,7,62,9,0,2,0,0.0845070419999999,0
0,7,5132,101,0,1,0,17,7,0,0.0,1,0,3,0.0161290319999999,5,62,9,0,2,0,0.514851485,0
1,0,5,72,0,1,0,20,15,0,0.0,0,0,3,0.0,6,69,15,1,2,1,0.7222222220000001,1
0,3,5001,49,0,1,0,16,0,0,0.0,1,0,3,0.0,3,24,8,0,2,0,0.285714286,0
0,0,199,0,0,1,0,10,12,0,0.0,0,1,3,0.222222222,4,45,12,1,2,0,0.0,1
0,3,6140,308,0,0,0,17,0,0,0.0,1,0,3,0.0,3,26,10,0,2,0,0.103896104,0
0,3,3494,23,0,1,0,24,0,0,0.0,1,0,3,0.0,3,33,16,0,2,0,0.608695652,0
0,8,5161,24,0,1,0,29,0,0,0.0,0,0,6,0.0,2,36,9,0,2,0,0.25,0
1,7,-1,0,0,1,0,18,8,0,0.0,0,0,3,0.109090909,5,55,8,1,4,0,0.0,0
0,2,4011,178,0,0,0,16,0,0,0.0,1,0,3,0.0,3,25,9,0,2,0,0.280898876,0
1,0,3480,16,1,1,1,20,7,0,0.0,1,0,3,0.0,4,59,12,0,4,1,0.125,0
1,2,7202,28,0,1,0,23,0,0,0.0,0,0,6,0.0,3,31,12,0,2,0,0.75,1
0,5,4843,0,1,1,2,7,22,0,0.0,1,0,4,0.114583333,3,96,22,0,3,1,0.0,1
0,3,7391,17,0,0,0,19,0,0,0.0,1,0,3,0.0,3,27,12,0,2,0,0.705882353,0
1,4,-1,132,0,1,0,17,9,0,0.0,1,0,3,0.0,4,44,9,0,3,0,0.098484848,0
1,3,5005,13,0,0,0,18,7,0,0.0,1,0,3,0.0,6,47,10,0,2,0,0.615384615,0
0,5,7299,57,0,1,0,24,0,0,0.0,0,0,8,0.0,3,32,11,0,2,0,0.614035088,0
0,4,3029,14,0,0,0,17,11,0,0.0,1,0,3,0.0,4,46,11,1,2,0,0.5,0
0,5,12471,267,0,1,0,18,12,0,0.0,0,0,4,0.0,4,56,12,0,2,0,0.041198502,0
1,0,-1,4,0,1,0,12,0,0,0.0,0,0,7,0.0,3,21,7,0,1,0,0.0,1
1,5,-1,80,0,1,0,15,9,0,0.0,1,0,3,0.0,5,50,9,1,2,0,0.05,0
1,5,5614,21,0,1,0,35,5,0,0.4,0,1,1,0.264150943,4,53,18,0,4,0,0.80952381,1
1,5,5613,4,0,1,0,59,0,0,0.101694915,0,0,1,0.088235294,3,68,7,0,4,0,0.25,1
0,4,3772,62,0,1,0,21,8,0,0.0,1,0,3,0.0,5,45,13,0,2,0,0.370967742,0
1,0,6663,103,0,1,0,21,0,0,0.095238095,0,0,4,0.068965517,3,29,8,1,2,0,0.067961165,1
1,0,-1,11,1,1,1,18,5,0,0.0,1,0,3,0.0,5,68,7,0,6,1,0.0,1
1,1,2926,0,0,1,0,24,8,0,0.0,1,0,3,0.0,6,61,16,0,3,1,0.0,1
1,2,134,42,1,1,1,20,23,0,0.0,0,0,4,0.074468085,4,94,23,0,3,0,0.095238095,1
0,5,7298,768,0,1,0,22,0,0,0.0,0,0,8,0.0,3,31,9,0,2,0,0.0703125,0
1,0,-1,4,0,1,0,11,9,0,0.0,0,0,8,0.0,8,71,9,1,2,3,0.0,1
1,5,7371,261,0,1,0,15,12,0,0.0,1,0,3,0.0,5,50,12,0,3,0,0.122605364,0
1,1,-1,11,0,1,0,22,32,0,0.0,0,1,15,0.141304348,8,92,32,1,2,3,0.0,1
1,4,-1,70,0,1,0,17,11,0,0.0,1,0,3,0.0,6,78,11,1,3,0,0.128571429,0
0,3,1963,23,0,1,0,20,40,0,0.0,0,1,4,0.3913043479999999,3,69,40,0,2,0,0.130434783,1
1,5,5626,0,0,1,0,69,0,0,0.130434783,0,1,1,0.115384615,3,78,36,0,4,0,0.0,1
0,2,-1,331,0,1,0,18,0,0,0.0,1,0,3,0.0,3,27,11,0,2,0,0.054380665,0
1,0,3593,0,0,1,0,18,2,0,0.0,1,0,3,0.0,4,29,10,0,2,0,0.0,1
0,3,2403,1,1,1,1,16,9,0,0.0,1,1,3,0.123287671,7,73,9,0,5,0,0.0,1
1,0,72,1,1,1,1,18,8,0,0.0,0,0,14,0.0,5,75,14,0,3,0,0.0,1
1,2,3452,0,0,1,0,13,9,0,0.0,1,1,3,0.333333333,5,84,9,0,3,0,0.0,0
1,0,3993,51,1,1,3,50,17,1,0.0,0,1,3,0.149606299,5,127,17,1,4,0,0.0,1
1,5,8206,249,0,1,0,17,12,0,0.0,1,0,3,0.0,7,75,12,0,3,0,0.1927710839999999,0
0,5,2247,73,0,0,0,7,7,0,0.0,0,0,4,0.0,4,36,7,0,1,0,0.1643835619999999,0
0,4,2031,37,0,1,0,15,0,0,0.0,1,0,3,0.0,3,24,7,0,2,0,0.567567568,0
0,7,7133,227,0,0,0,16,8,0,0.0,0,0,2,0.0172413789999999,4,58,9,0,2,0,0.088105727,0
1,4,8018,19,1,1,1,34,17,0,0.0,0,0,2,0.028169014,7,142,17,1,2,0,0.263157895,1
0,4,8823,266,0,0,0,21,11,0,0.0,0,0,7,0.0,3,67,11,0,2,0,0.248120301,0
1,0,4633,0,0,1,0,19,5,0,0.0,0,0,6,0.0,5,42,8,0,3,1,0.0,1
1,0,2100,0,1,1,1,16,12,0,0.0,1,0,3,0.115384615,3,52,12,0,2,0,0.0,1
